5617626.5668,1,8f02de2,4,8,d7,7c,0b,7d,d2,80,00,00,278256334,2024-05-31 17:23:57
5617626.56734,1,cf029e2,4,8,ec,4e,7d,6b,d4,7b,00,05,278256335,2024-05-31 17:23:57
5617626.56963,1,9f8027f,4,8,00,fc,e1,51,00,00,ff,ff,278256336,2024-05-31 17:23:57
5617626.57018,1,9f8017f,4,8,b0,0e,9e,16,a5,8f,fa,b6,278256337,2024-05-31 17:23:57
5617626.57074,1,9f1127f,4,8,00,02,ca,ff,7f,ba,08,fd,278256338,2024-05-31 17:23:57
5617626.57131,1,df1137f,4,8,00,5a,94,09,00,00,ff,ff,278256339,2024-05-31 17:23:57
5617626.57625,1,cf02ae2,4,8,be,7c,3c,7d,1e,7d,00,05,278256340,2024-05-31 17:23:57
5617626.57675,2,18ffa081,4,8,02,00,ff,ff,ff,ff,ff,ff,278256341,2024-05-31 17:23:57
5617626.5768,1,8f02de2,4,8,d7,7c,0b,7d,d2,80,00,00,278256342,2024-05-31 17:23:57
5617626.57734,1,cf029e2,4,8,f5,4e,7d,6d,d4,7b,00,05,278256343,2024-05-31 17:23:57
5617626.57743,2,18ffa181,4,8,00,ff,ff,ff,ff,ff,ff,ff,278256344,2024-05-31 17:23:57
5617626.57812,2,18ffa481,4,8,00,00,ff,ff,ff,ff,ff,ff,278256345,2024-05-31 17:23:57
5617626.5788,2,18ffa681,4,8,fd,ff,ff,ff,ff,ff,ff,ff,278256346,2024-05-31 17:23:57
5617626.58429,2,cfff225,4,8,d4,07,1a,08,18,08,01,00,278256347,2024-05-31 17:23:57
5617626.58624,1,cf02ae2,4,8,c0,7c,38,7d,1e,7d,00,05,278256348,2024-05-31 17:23:57
5617626.5868,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256349,2024-05-31 17:23:57
5617626.58735,1,cf029e2,4,8,f0,4e,7d,6d,d4,7b,00,05,278256350,2024-05-31 17:23:57
5617626.59624,1,cf02ae2,4,8,c1,7c,3a,7d,22,7d,00,05,278256351,2024-05-31 17:23:57
5617626.5968,1,8f02de2,4,8,d8,7c,0a,7d,d2,80,00,00,278256352,2024-05-31 17:23:57
5617626.59734,1,cf029e2,4,8,ea,4e,7d,6c,d4,7b,00,05,278256353,2024-05-31 17:23:57
5617626.60625,1,cf02ae2,4,8,c1,7c,3d,7d,25,7d,00,05,278256354,2024-05-31 17:23:57
5617626.6068,1,8f02de2,4,8,d8,7c,0a,7d,d2,80,00,00,278256355,2024-05-31 17:23:57
5617626.60734,1,cf029e2,4,8,e2,4e,7d,6b,d4,7b,00,05,278256356,2024-05-31 17:23:57
5617626.60775,2,cff3134,4,8,00,00,00,1c,00,00,00,00,278256357,2024-05-31 17:23:57
5617626.61267,2,18ffa280,4,8,00,00,ff,ff,ff,ff,ff,ff,278256358,2024-05-31 17:23:57
5617626.61336,2,18ffa380,4,8,00,ff,ff,ff,ff,ff,ff,ff,278256359,2024-05-31 17:23:57
5617626.61414,2,18ffa580,4,8,00,00,ff,ff,ff,ff,ff,ff,278256360,2024-05-31 17:23:57
5617626.61625,1,cf02ae2,4,8,c6,7c,3e,7d,26,7d,00,05,278256361,2024-05-31 17:23:57
5617626.61681,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256362,2024-05-31 17:23:57
5617626.61735,1,cf029e2,4,8,d2,4e,7d,69,d4,7b,00,05,278256363,2024-05-31 17:23:57
5617626.61776,2,cff3334,4,8,00,00,00,00,01,00,00,00,278256364,2024-05-31 17:23:57
5617626.62428,2,cfff125,4,8,8c,08,56,08,4a,08,01,00,278256365,2024-05-31 17:23:57
5617626.62624,1,cf02ae2,4,8,be,7c,3d,7d,22,7d,00,05,278256366,2024-05-31 17:23:57
5617626.6268,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256367,2024-05-31 17:23:57
5617626.62734,1,cf029e2,4,8,cc,4e,7d,63,d4,7b,00,05,278256368,2024-05-31 17:23:57
5617626.63624,1,cf02ae2,4,8,c2,7c,3c,7d,21,7d,00,05,278256369,2024-05-31 17:23:57
5617626.6368,1,8f02de2,4,8,d6,7c,09,7d,d2,80,00,00,278256370,2024-05-31 17:23:57
